Contract_ID,Application_ID,Loan_Type,Contract_Start_Date,Expected_Contract_End_Date,Loan_Term,Total_Loan_Amount,Outstanding Amount_max,Outstanding Amount_mean,Outstanding Amount_last,Due Amount_max,Due Amount_mean,Number of Days Past Due_max,Number of Days Past Due_mean,Number of Days Past Due_count,Loan_Default,Application_Date,Loan_Approval_Status,Age_at_Application,Marital_Status,Gender,Own_Rent_Home,Occupation_Professional_Category,Type_of_Business_Industry_of_Employment,Employment_Status,Time_at_Current_Employment_(Months),Number_of_Dependents,Loan_Purpose,Monthly_Income,Government_Employee,Marital_Status_Missing,Own_Rent_Home_Missing,Type_of_Business_Missing,Number_of_Dependents_Missing,Monthly_Income_Capped,Monthly_Income_Log,Employment_Time_Capped,Employment_Stability_Score,Age_Bin,Has_Dependents,CRB Score,CRB Grade,Average Balance,Overdraft Limit,Net_Cashflow,Liquidity_Ratio,Has_Bounced_Cheques
CONT100022,C302107375,Unsecured Personal Loan,,2024-08-18,60.0,42203.99,44349.64,44349.64,44349.64,0.0,0.0,0.0,0.0,1.0,0,,Approved,26.0,Unmarried,Male,Family,"Skilled Agricultural, Forestry",Civil Service,Full-Time,46.0,1.0,Debt Consolidation,3200.31,False,0,0,0,0,3200.31,8.071315380016735,46.0,0,Emerging,1,610.0,D,377.6016666666667,0.0,151.8211111111113,3.845228427041644,0
CONT100023,C302107390,Unsecured Personal Loan,,2024-08-30,60.0,14790.25,14790.25,14790.25,14790.25,0.0,0.0,0.0,0.0,1.0,0,,Approved,27.0,Unmarried,Male,Family,Service and Sales Worker,Retailing,Full-Time,36.0,1.0,Other,18288.39,False,0,0,0,0,17503.945400000015,9.770238714275076,36.0,0,Emerging,1,,,262.68384615384616,0.0,-55.22600000000002,4.245315309473463,0
CONT100024,C302107369,Unsecured Personal Loan,,2023-08-14,48.0,42203.99,45672.73,45672.73,45672.73,0.0,0.0,0.0,0.0,1.0,0,,Approved,56.0,Married,Male,Own,Officer,Civil Service,Full-Time,360.0,0.0,Debt Consolidation,4911.98,True,0,0,0,0,4911.98,8.499635961327877,360.0,0,Senior,0,667.0,B,1094.5118181818182,0.0,220.93625000000017,3.278952247344291,0
CONT100025,C302107344,Unsecured Personal Loan,,2022-08-25,36.0,7375.29,7375.29,7375.29,7375.29,0.0,0.0,0.0,0.0,1.0,0,,Approved,25.0,Unmarried,Female,Rent,Employee,Construction & Installation,Full-Time,29.0,0.0,Home Improvement,1180.15,False,0,0,0,0,1180.15,7.074243819139768,29.0,0,Emerging,0,,,932.02875,0.0,298.97416666666663,2.2966999724204062,0
CONT100026,C302107361,Unsecured Personal Loan,,2024-08-15,60.0,21588.96,22678.97,22678.97,22678.97,0.0,0.0,0.0,0.0,1.0,0,,Approved,24.0,Unmarried,Male,Family,Blue Collar,Civil Service,Full-Time,15.0,0.0,Other,1342.25,False,0,0,0,0,1342.25,7.202847329608931,15.0,0,Young,0,,,608.0816666666667,0.0,50.05777777777777,1.6158609841609293,0
CONT100027,C302107373,Unsecured Personal Loan,,2023-08-17,48.0,14744.1,14744.1,14744.1,14744.1,0.0,0.0,0.0,0.0,1.0,0,,Approved,19.0,Unmarried,Female,Rent,Service and Sales Worker,Other,Full-Time,31.0,0.0,Home Improvement,3094.96,False,0,0,0,0,3094.96,8.037853314729514,31.0,0,Young,0,,,580.365,0.0,13.851666666666658,1.7569775602646107,0
CONT100028,C302107437,Unsecured Personal Loan,,2025-08-26,72.0,94613.53,94613.53,94613.53,94613.53,0.0,0.0,0.0,0.0,1.0,0,,Approved,26.0,Unmarried,Male,Family,Officer,Civil Service,Full-Time,78.0,2.0,Debt Consolidation,4008.42,True,0,0,0,0,4008.42,8.296401871435481,78.0,0,Emerging,1,626.0,C,298.24692307692305,0.0,30.305555555555536,3.902652911104528,0
CONT100029,C302107323,Unsecured Personal Loan,,2022-08-30,36.0,11377.16,11377.16,11377.16,11377.16,0.0,0.0,0.0,0.0,1.0,0,,Approved,45.0,Unmarried,Male,Family,Elementary Occupation,Other,Contract,48.0,1.0,Home Improvement,1245.21,True,0,0,0,0,1245.21,7.127862224472084,48.0,0,Established,1,646.0,C,305.3128571428571,0.0,88.03545454545447,6.142039662249555,0
CONT100030,C302107396,Unsecured Personal Loan,,2025-08-20,72.0,74752.68,74752.68,74752.68,74752.68,0.0,0.0,0.0,0.0,1.0,0,,Approved,55.0,Married,Male,Own,Employee,Unknown,Unknown,363.0,0.0,Debt Consolidation,6350.43,True,0,0,1,0,6350.43,8.756435263384127,363.0,0,Senior,0,675.0,B,2340.789166666667,0.0,517.9844444444449,3.0339459343916015,0
CONT100031,C302100128,Unsecured Personal Loan,,2024-01-31,54.0,12809.43,12809.43,12743.685,12677.94,0.0,0.0,0.0,0.0,2.0,0,,Approved,26.0,Unmarried,Male,Rent,Unknown,Other,Contract,19.0,0.0,Other,1778.04,False,0,0,0,0,1778.04,7.483829171954939,19.0,0,Emerging,0,,,368.6983333333333,0.0,16.065000000000015,6.2479915804674215,0
CONT100032,C302107352,Unsecured Personal Loan,,2023-08-12,48.0,27078.31,27078.31,27078.31,27078.31,0.0,0.0,0.0,0.0,1.0,0,,Approved,26.0,Unmarried,Male,Family,Officer,Other,Contract,17.0,2.0,Home Improvement,1854.67,False,0,0,0,0,1854.67,7.526001095813407,17.0,0,Emerging,1,622.0,C,284.5733333333333,0.0,-5.351111111111134,2.7029039179420438,0
CONT100033,C302107406,Unsecured Personal Loan,,2025-08-21,72.0,86352.75,86352.75,86352.75,86352.75,0.0,0.0,0.0,0.0,1.0,0,,Approved,28.0,Married,Male,Rent,Armed Forces Occupation,Civil Service,Full-Time,97.0,0.0,Debt Consolidation,4739.09,True,0,0,0,0,4739.09,8.463811401850636,97.0,0,Emerging,0,647.0,B,190.5075,0.0,33.51454545454541,2.995670347600912,0
CONT100034,C302107377,Unsecured Personal Loan,,2024-08-18,60.0,24650.41,24650.41,24650.41,24650.41,0.0,0.0,0.0,0.0,1.0,0,,Approved,26.0,Unmarried,Male,Family,Clerical Support Worker,Other,Contract,23.0,0.0,Debt Consolidation,1887.58,False,0,0,0,0,1887.58,7.543580502917977,23.0,0,Emerging,0,,,1491.1081818181817,0.0,10.322500000000375,1.6482812545607253,0
CONT100035,C302107331,Unsecured Personal Loan,,2024-08-05,60.0,70339.98,74219.93,74219.93,74219.93,0.0,0.0,0.0,0.0,1.0,0,,Approved,43.0,Married,Male,Family,Armed Forces Occupation,Civil Service,Full-Time,204.0,3.0,Debt Consolidation,4125.07,True,0,0,0,0,4125.07,8.325080659071384,204.0,0,Established,1,603.0,D,679.535,0.0,216.26000000000113,3.6027083433405447,0
CONT100036,C302107347,Unsecured Personal Loan,,2024-08-11,60.0,11075.59,11075.59,11075.59,11075.59,0.0,0.0,0.0,0.0,1.0,0,,Approved,21.0,Unmarried,Male,Family,"Skilled Agricultural, Forestry",Unknown,Full-Time,15.0,0.0,Home Improvement,1493.39,False,0,0,1,0,1493.39,7.309473375803367,15.0,0,Young,0,,,472.78214285714284,0.0,66.61363636363643,1.5388872062982106,0
CONT100037,C302107442,Unsecured Personal Loan,,2022-08-28,36.0,8206.33,8620.59,8620.59,8620.59,0.0,0.0,0.0,0.0,1.0,0,,Approved,40.0,Unmarried,Male,Family,Service and Sales Worker,Unknown,Full-Time,18.0,2.0,Home Improvement,1367.72,False,0,0,1,0,1367.72,7.221631275516393,18.0,0,Established,1,250.0,E,908.2254545454545,0.0,248.48714285714271,1.7595860629892992,0
CONT100038,C302107283,Unsecured Personal Loan,,2024-07-24,60.0,49479.95,49479.95,49254.195,49028.44,0.0,0.0,0.0,0.0,2.0,0,,Approved,44.0,Married,Female,Own,Officer,Education,Full-Time,12.0,0.0,Education,3174.51,False,0,0,0,0,3174.51,8.063223528348447,12.0,0,Established,0,,,202.06071428571425,0.0,15.589090909090912,1.670245194287012,0
CONT100039,C302107368,Unsecured Personal Loan,,2021-08-30,24.0,11037.61,11037.61,11037.61,11037.61,0.0,0.0,0.0,0.0,1.0,0,,Approved,39.0,Unmarried,Male,Family,Employee,Other,Contract,37.0,0.0,Other,1718.67,False,0,0,0,0,1718.67,7.449887690934808,37.0,0,Established,0,619.0,C,2088.512,0.0,597.7461538461539,3.6899759750066785,0
CONT100040,C302107392,Unsecured Personal Loan,,2022-08-28,36.0,12040.56,12040.56,12040.56,12040.56,0.0,0.0,0.0,0.0,1.0,0,,Approved,26.0,Unmarried,Female,Family,Employee,Transportation & Communication,Contract,39.0,0.0,Other,1503.71,False,0,0,0,0,1503.71,7.316355467585774,39.0,0,Emerging,0,582.0,D,1294.7115384615386,0.0,12.728000000000009,2.1959997425403843,0
CONT100041,C302107293,Unsecured Personal Loan,,2024-07-28,60.0,23446.66,24881.59,24753.455,24625.32,0.0,0.0,0.0,0.0,2.0,0,,Approved,47.0,Married,Female,Other,Officer,Civil Service,Full-Time,223.0,0.0,Other,4235.21,True,0,0,0,0,4235.21,8.351424280563315,223.0,0,Established,0,625.0,C,294.07076923076926,0.0,86.558,2.708491625378492,0
CONT100042,C302107285,Unsecured Personal Loan,,2024-07-24,60.0,7383.73,7383.73,7350.035,7316.34,0.0,0.0,0.0,0.0,2.0,0,,Approved,20.0,Unmarried,Male,Rent,Clerical Support Worker,Transportation & Communication,Full-Time,20.0,0.0,Other,2072.71,False,0,0,0,0,2072.71,7.637094552590475,20.0,0,Young,0,,,431.921875,0.0,8.017692307692354,1.9337048916457624,0
CONT100043,C302107296,Unsecured Personal Loan,,2021-01-28,18.0,3780.7,3780.7,3691.325,3601.95,0.0,0.0,0.0,0.0,2.0,0,,Approved,33.0,Unmarried,Male,Family,Blue Collar,Other,Contract,21.0,0.0,Home Improvement,1392.87,False,0,0,0,0,1392.87,7.239839330156861,21.0,0,Emerging,0,,,308.391875,0.0,3.2442857142857093,1.9851411676840995,0
CONT100044,C302100127,Unsecured Personal Loan,,2021-11-30,28.0,3084.17,3084.17,3041.735,2999.3,0.0,0.0,0.0,0.0,2.0,0,,Approved,29.0,Unmarried,Female,Family,Unknown,Micro & Small Enterprise,Contract,21.0,0.0,Education,1137.94,False,0,0,0,0,1137.94,7.037853284272126,21.0,0,Emerging,0,,,145.86416666666668,0.0,0.4000000000000064,3.85254824158496,0
CONT100045,C302107253,Unsecured Personal Loan,,2021-07-20,24.0,6156.34,6156.34,6053.455,5950.57,0.0,0.0,0.0,0.0,2.0,0,,Approved,28.0,Unmarried,Female,Family,Employee,Other,Full-Time,30.0,2.0,Other,1423.95,False,0,0,0,0,1423.95,7.261892004367864,30.0,0,Emerging,1,,,244.34,0.0,-24.197000000000003,1.9110307974591014,0
CONT100046,C302107336,Unsecured Personal Loan,,2022-08-07,36.0,10325.39,10325.39,10325.39,10325.39,0.0,0.0,0.0,0.0,1.0,0,,Approved,29.0,Unmarried,Female,Own,Employee,Unknown,Contract,37.0,0.0,Other,1211.38,False,0,0,1,0,1211.38,7.100340648841711,37.0,0,Emerging,0,587.0,D,209.62363636363636,0.0,97.83444444444453,3.002634965245542,0
CONT100047,C302107274,Unsecured Personal Loan,,2024-07-30,60.0,16412.66,17317.98,17236.425,17154.87,0.0,0.0,0.0,0.0,2.0,0,,Approved,42.0,Married,Male,Own,Employee,Other,Full-Time,87.0,3.0,Debt Consolidation,1578.37,False,0,0,0,0,1578.37,7.364781312328187,87.0,0,Established,1,672.0,B,292.3675,0.0,12.062999999999874,2.322668070722239,0
CONT100048,C302107435,Unsecured Personal Loan,,2020-08-26,12.0,4689.33,4946.17,4946.17,4946.17,0.0,0.0,0.0,0.0,1.0,0,,Approved,21.0,Unmarried,Female,Family,Clerical Support Worker,Unknown,Full-Time,22.0,0.0,Other,1473.23,False,0,0,1,0,1473.23,7.29589109856848,22.0,0,Young,0,580.0,D,179.39153846153846,0.0,-46.60899999999996,2.69903361587867,0
CONT100049,C302107270,Unsecured Personal Loan,,2024-07-22,60.0,36975.62,36975.62,36796.285,36616.95,0.0,0.0,0.0,0.0,2.0,0,,Approved,26.0,Unmarried,Male,Rent,Semi-Professional,Civil Service,Full-Time,36.0,0.0,Debt Consolidation,7530.64,False,0,0,0,0,7530.64,8.926868092564673,36.0,0,Emerging,0,633.0,C,602.3233333333334,0.0,30.47900000000019,2.9994694196234586,0
CONT100050,C302107265,Unsecured Personal Loan,,2025-07-21,72.0,36959.79,36959.79,36803.82,36647.85,0.0,0.0,0.0,0.0,2.0,0,,Approved,23.0,Unmarried,Male,Family,Employee,Civil Service,Full-Time,14.0,0.0,Home Improvement,3149.86,True,0,0,0,0,3149.86,8.055430710430644,14.0,0,Young,0,,,1823.2983333333334,0.0,28.805000000000064,1.9280280130821301,0
CONT100051,C302107341,Unsecured Personal Loan,,2024-08-07,60.0,14790.25,14790.25,14790.25,14790.25,0.0,0.0,0.0,0.0,1.0,0,,Approved,29.0,Unmarried,Male,Family,Officer,Civil Service,Full-Time,16.0,0.0,Debt Consolidation,3074.39,True,0,0,0,0,3074.39,8.031187001466758,16.0,0,Emerging,0,643.0,C,289.4742857142857,0.0,96.37000000000015,4.365836663720564,0
CONT100052,C302107224,Unsecured Personal Loan,,2024-07-15,60.0,39493.55,39493.55,39302.005000000005,39110.46,0.0,0.0,0.0,0.0,2.0,0,,Approved,33.0,Unmarried,Female,Own,Clerical Support Worker,Civil Service,Full-Time,132.0,0.0,Debt Consolidation,2895.1,True,0,0,0,0,2895.1,7.971120283296186,132.0,0,Emerging,0,608.0,D,323.85499999999996,0.0,40.654999999999774,2.147543334507456,0
CONT100053,C302107252,Unsecured Personal Loan,,2024-07-21,60.0,74050.41,74050.41,73639.99,73229.57,0.0,0.0,0.0,0.0,2.0,0,,Approved,32.0,Married,Male,Other,Armed Forces Occupation,Civil Service,Full-Time,127.0,2.0,Debt Consolidation,3579.93,False,0,0,0,0,3579.93,8.183377822194977,127.0,0,Emerging,1,643.0,C,521.8233333333334,0.0,3.281818181818215,3.9254146799838843,0
CONT100054,C302107228,Unsecured Personal Loan,,2021-01-15,18.0,4264.31,4264.31,4161.955,4059.6,0.0,0.0,0.0,0.0,2.0,0,,Approved,45.0,Married,Female,Family,Employee,Unknown,Full-Time,72.0,0.0,Other,2621.31,True,0,0,1,0,2621.31,7.871810887693492,72.0,0,Established,0,681.0,B,250.5975,0.0,-18.426999999999982,2.960360463016241,0
CONT100055,C302107229,Unsecured Personal Loan,,2024-07-15,60.0,39493.55,39493.55,39274.655,39055.76,0.0,0.0,0.0,0.0,2.0,0,,Approved,33.0,Unmarried,Female,Family,Officer,Civil Service,Full-Time,120.0,0.0,Other,3972.05,True,0,0,0,0,3972.05,8.287289340683811,120.0,0,Emerging,0,638.0,C,301.3335714285714,0.0,-61.58249999999982,6.367428430919361,0
CONT100056,C302107243,Unsecured Personal Loan,,2023-07-17,48.0,14882.95,14882.95,14781.395,14679.84,0.0,0.0,0.0,0.0,2.0,0,,Approved,49.0,Married,Male,Family,Officer,Civil Service,Full-Time,363.0,0.0,Other,6437.51,True,0,0,0,0,6437.51,8.770052425869423,363.0,0,Established,0,676.0,B,540.131875,0.0,12.155714285714302,2.2309375348321416,0
CONT100057,C302107272,Unsecured Personal Loan,,2025-07-22,72.0,49415.71,49415.71,49225.37,49035.03,0.0,0.0,0.0,0.0,2.0,0,,Approved,32.0,Unmarried,Male,Own,Armed Forces Occupation,Civil Service,Full-Time,108.0,3.0,Home Improvement,3648.44,True,0,0,0,0,3648.44,8.202329010148237,108.0,0,Emerging,1,687.0,A,1660.1866666666665,0.0,39.08699999999989,2.6052107112973326,0
CONT100058,C302107244,Unsecured Personal Loan,,2024-07-17,60.0,117233.29,123699.88,123080.915,122461.95,144.99,72.495,4.0,2.0,2.0,0,,Approved,39.0,Married,Male,Family,Armed Forces Occupation,Civil Service,Full-Time,240.0,0.0,Debt Consolidation,6336.34,True,0,0,0,0,6336.34,8.754214401032415,240.0,0,Established,0,,,1169.0674999999999,0.0,-248.74899999999997,2.270783800731501,0
CONT100059,C302107294,Unsecured Personal Loan,,2023-01-30,42.0,12054.23,12054.23,11956.785,11859.34,0.0,0.0,0.0,0.0,2.0,0,,Approved,27.0,Unmarried,Male,Family,Officer,Other,Contract,12.0,1.0,Home Improvement,2043.2,False,0,0,0,0,2043.2,7.622761793894975,12.0,0,Emerging,1,,,391.82166666666666,0.0,-84.00300000000001,3.918476972510241,0
CONT100060,C302107263,Unsecured Personal Loan,,2023-07-22,48.0,24646.66,24646.66,24486.155,24325.65,0.0,0.0,0.0,0.0,2.0,0,,Approved,32.0,Unmarried,Male,Family,Clerical Support Worker,Unknown,Full-Time,93.0,0.0,Home Improvement,2616.46,False,0,0,1,0,2616.46,7.869959660870522,93.0,0,Emerging,0,629.0,C,936.1741666666667,0.0,26.217000000000205,1.6935175840230796,0
CONT100061,C302107203,Unsecured Personal Loan,,2024-07-10,60.0,12300.56,12300.56,12244.44,12188.32,0.0,0.0,0.0,0.0,2.0,0,,Approved,33.0,Unmarried,Female,Own,Officer,Other,Contract,35.0,0.0,Other,1565.02,False,0,0,0,0,1565.02,7.3562926478612765,35.0,0,Emerging,0,545.0,E,246.49333333333334,0.0,-73.36899999999999,1.8606252028090926,0
CONT100062,C302107198,Unsecured Personal Loan,,2023-07-10,48.0,11337.47,11337.47,11263.634999999998,11189.8,0.0,0.0,0.0,0.0,2.0,0,,Approved,34.0,Unmarried,Male,Family,Clerical Support Worker,Transportation & Communication,Full-Time,45.0,2.0,Other,1463.07,False,0,0,0,0,1463.07,7.288975507585844,45.0,0,Emerging,1,,,347.07,0.0,44.061000000000014,1.5117064008344592,0
CONT100063,C302107232,Unsecured Personal Loan,,2024-07-16,60.0,30930.34,30930.34,30771.045,30611.75,0.0,0.0,0.0,0.0,2.0,0,,Approved,28.0,Unmarried,Male,Family,Officer,Civil Service,Full-Time,67.0,0.0,Debt Consolidation,3378.04,True,0,0,0,0,3378.04,8.125346924466063,67.0,0,Emerging,0,603.0,D,263.13124999999997,0.0,89.94846153846153,5.038698202204958,0
